iso_alpha_3,year,ef_frst_sequestration_young_secondary_kt_co2_ha
LBY,2018,0.0013576060679949614
LBY,2019,0.0013576060679949614
LCA,2015,0.005258342722263298
LCA,2016,0.005259331744122869
LCA,2017,0.005259331744122869
LCA,2018,0.005259331744122869
LCA,2019,0.005259331744122869
LIE,2015,0.007327383935829498
LIE,2016,0.007327383935829498
LIE,2017,0.007327383935829498
LIE,2018,0.007327383935829498
LIE,2019,0.007327383935829498
LKA,2015,0.0034030794547068874
LKA,2016,0.0034033237149306175
LKA,2017,0.0034038928875092926
LKA,2018,0.003404051988437559
LKA,2019,0.0034044564868051658
LSO,2015,0.0025
LSO,2016,0.0025
LSO,2017,0.0025
LSO,2018,0.0025
LSO,2019,0.0025
LTU,2015,
LTU,2016,
LTU,2017,
LTU,2018,
LTU,2019,
LUX,2015,0.007327383935829496
LUX,2016,0.007327383935829496
LUX,2017,0.007327383935829496
LUX,2018,0.007327383935829496
LUX,2019,0.007327383935829496
LVA,2015,
LVA,2016,
LVA,2017,
LVA,2018,
LVA,2019,
MAC,2015,0.0025
MAC,2016,0.0025
MAC,2017,0.0025
MAC,2018,0.0025
MAC,2019,0.0025
MAF,2015,0.0039
MAF,2016,0.0039
MAF,2017,0.0039
MAF,2018,0.0039
MAF,2019,0.0039
MAR,2015,0.002367829117273163
MAR,2016,0.002367830312527073
MAR,2017,0.0023677402186294528
MAR,2018,0.0023664193821983036
MAR,2019,0.0023644456475833105
MCO,2015,0.004225
MCO,2016,0.004225
MCO,2017,0.004225
MCO,2018,0.004225
MCO,2019,0.004225
MDA,2015,0.011150366858870976
MDA,2016,0.011150366858870974
MDA,2017,0.011150366858870973
MDA,2018,0.011150366858870974
MDA,2019,0.011150366858870974
MDG,2015,0.006810148134769694
MDG,2016,0.006810746553357967
MDG,2017,0.006812760231100858
MDG,2018,0.006813056521993027
MDG,2019,0.006811917416197281
MDV,2015,0.0034
MDV,2016,0.0034
MDV,2017,0.0034
MDV,2018,0.0034
MDV,2019,0.0034
MEX,2015,0.005125656961769258
MEX,2016,0.00512620831288198
MEX,2017,0.005126058343734
MEX,2018,0.0051257767909711534
MEX,2019,0.005124736047153847
MHL,2015,0.005699999999999999
MHL,2016,0.005699999999999999
MHL,2017,0.005699999999999999
MHL,2018,0.005699999999999999
MHL,2019,0.005699999999999999
MKD,2015,0.0038740610137798065
MKD,2016,0.0038740610137798065
MKD,2017,0.003869236994781241
MKD,2018,0.003869236994781241
MKD,2019,0.003869236994781241
MLI,2015,0.003035467263787873
MLI,2016,0.003034723278752395
MLI,2017,0.003034723278752395
MLI,2018,0.0030369752693456186
MLI,2019,0.003037739499642353
MLT,2015,0.004225
